Positive Lemma,Negative Lemma
around,1
alway,1
busi,1
least,1
store,1
money,1
sauc,1
feel,1
hour,1
sinc,1
look,1
pizza,1
want,1
ca,1
say,1
sure,1
poor,1
wait,1
final,1
put,1
custom,1
tell,1
els,1
worth,1
nice,1
actual,1
use,1
staff,1
know,1
last,1
take,1
eat,1
experi,1
give,1
still,1
first,1
day,1
well,1
restaur,1
tabl,1
waitress,1
bad,1
better,1
disappoint,1
come,1
think,1
came,1
said,1
rude,1
peopl,1
tast,1
pay,1
ever,1
night,1
two,1
took,1
worst,1
make,1
us,1
way,1
went,1
tri,1
much,1
could,1
good,1
told,1
realli,1
got,1
never,1
servic,1
get,1
one,1
even,1
place,1
order,1
back,1
would,1
food,1
time,1
like,1
go,1
especi,5
someon,5
profession,5
ago,5
uniqu,5
line,5
low,5
brought,5
might,5
warm,5
light,5
felt,5
chang,5
job,5
fix,5
meat,5
list,5
toast,5
plu,5
street,5
move,5
cheap,5
final,5
call,5
talk,5
case,5
today,5
run,5
hard,5
yelp,5
serv,5
beef,5
choos,5
stay,5
later,5
mouth,5
miss,5
yummi,5
appet,5
regular,5
point,5
fun,5
high,5
attent,5
far,5
ye,5
custom,5
set,5
anywher,5
drive,5
past,5
door,5
insid,5
knowledg,5
ice,5
serious,5
offer,5
less,5
locat,5
counter,5
weekend,5
neighborhood,5
cake,5
dress,5
taken,5
entir,5
outsid,5
pick,5
cash,5
prepar,5
clean,5
rememb,5
instead,5
husband,5
often,5
grill,5
almost,5
gave,5
fri,5
close,5
seen,5
knew,5
mayb,5
stuff,5
els,5
abl,5
style,5
strip,5
ask,5
told,5
incred,5
easili,5
trip,5
done,5
potato,5
soup,5
easi,5
season,5
hair,5
tell,5
hit,5
chocol,5
spici,5
wish,5
mix,5
flavor,5
drink,5
guy,5
recent,5
leav,5
morn,5
thought,5
quick,5
part,5
kitchen,5
noth,5
decid,5
week,5
beer,5
watch,5
fast,5
size,5
park,5
seat,5
qualiti,5
review,5
crowd,5
bring,5
dog,5
famili,5
may,5
read,5
typic,5
sever,5
fan,5
wine,5
deal,5
beauti,5
owner,5
probabl,5
cream,5
tasti,5
fine,5
open,5
cours,5
extrem,5
perfectli,5
start,5
year,5
fill,5
coupl,5
though,5
room,5
half,5
sauc,5
hous,5
thank,5
excel,5
oh,5
lunch,5
believ,5
town,5
special,5
second,5
full,5
must,5
free,5
put,5
sandwich,5
let,5
car,5
end,5
dinner,5
salad,5
last,5
absolut,5
citi,5
sit,5
actual,5
old,5
walk,5
check,5
quit,5
bad,5
long,5
found,5
spot,5
care,5
sweet,5
meal,5
hot,5
happi,5
top,5
fantast,5
without,5
bread,5
usual,5
enjoy,5
dessert,5
pizza,5
person,5
took,5
real,5
stop,5
friend,5
local,5
anoth,5
anyth,5
away,5
came,5
breakfast,5
night,5
thing,5
coffe,5
highli,5
wonder,5
small,5
said,5
larg,5
pretti,5
big,5
enough,5
chicken,5
next,5
atmospher,5
give,5
side,5
super,5
area,5
someth,5
still,5
sinc,5
tabl,5
visit,5
busi,5
everyon,5
reason,5
use,5
better,5
kind,5
select,5
new,5
live,5
store,5
feel,5
bit,5
wait,5
fresh,5
worth,5
differ,5
experi,5
perfect,5
work,5
two,5
way,5
bar,5
around,5
shop,5
help,5
recommend,5
favorit,5
right,5
lot,5
mani,5
ca,5
us,5
take,5
everyth,5
huge,5
find,5
price,5
tast,5
went,5
chees,5
eat,5
home,5
say,5
see,5
need,5
restaur,5
made,5
much,5
day,5
menu,5
everi,5
look,5
never,5
think,5
first,5
want,5
sure,5
even,5
order,5
awesom,5
nice,5
peopl,5
staff,5
got,5
could,5
definit,5
make,5
ever,5
would,5
delici,5
know,5
come,5
amaz,5
friendli,5
well,5
littl,5
tri,5
back,5
servic,5
also,5
realli,5
alway,5
one,5
love,5
best,5
good,5
food,5
time,5
like,5
go,5
get,5
great,5
place,5
